sample	transcript	read_length
Treatment_3_demo	ENST00000338700	3506
Treatment_3_demo	ENST00000338700	2221
Treatment_3_demo	ENST00000338700	359
Treatment_3_demo	ENST00000338700	1918
Treatment_3_demo	ENST00000338700	1613
Treatment_3_demo	ENST00000338700	1356
Treatment_3_demo	ENST00000338700	1173
Treatment_3_demo	ENST00000338700	573
Treatment_3_demo	ENST00000338700	435
Treatment_3_demo	ENST00000521452	2483
Treatment_3_demo	ENST00000521452	880
Treatment_3_demo	ENST00000521452	822
Treatment_3_demo	ENST00000521452	470
Treatment_3_demo	ENST00000521452	268
Treatment_3_demo	ENST00000338458	1185
Treatment_3_demo	ENST00000338458	911
Treatment_3_demo	ENST00000338458	887
Treatment_3_demo	ENST00000338458	631
Treatment_3_demo	ENST00000338458	629
Treatment_3_demo	ENST00000338458	545
Treatment_3_demo	ENST00000338458	508
Treatment_3_demo	ENST00000537372	3088
Treatment_3_demo	ENST00000537372	1950
Treatment_3_demo	ENST00000537372	1578
Treatment_3_demo	ENST00000537372	391
Treatment_3_demo	ENST00000561157	296
Treatment_3_demo	ENST00000561157	473
Treatment_3_demo	ENST00000561157	470
Treatment_3_demo	ENST00000561157	311
Treatment_3_demo	ENST00000561157	306
Treatment_3_demo	ENST00000561157	316
Treatment_3_demo	ENST00000561157	238
Treatment_3_demo	ENST00000561157	301
Treatment_3_demo	ENST00000561157	1777
Treatment_3_demo	ENST00000561157	242
Treatment_3_demo	ENST00000561157	205
Treatment_3_demo	ENST00000561157	507
Treatment_3_demo	ENST00000561157	482
Treatment_3_demo	ENST00000561157	1451
Treatment_3_demo	ENST00000561157	116
Treatment_3_demo	ENST00000561157	191
Treatment_3_demo	ENST00000401395	4069
Treatment_3_demo	ENST00000401395	1383
Treatment_3_demo	ENST00000401395	897
Treatment_3_demo	ENST00000401395	681
Treatment_3_demo	ENST00000401395	518
Treatment_3_demo	ENST00000401395	494
Treatment_3_demo	ENST00000401395	290
Treatment_3_demo	ENST00000401395	229
Treatment_3_demo	ENST00000393389	1474
Treatment_3_demo	ENST00000393389	462
Treatment_3_demo	ENST00000610347	525
Treatment_3_demo	ENST00000610347	2252
Treatment_3_demo	ENST00000610347	1846
Treatment_3_demo	ENST00000610347	1289
Treatment_3_demo	ENST00000610347	1093
