name	log2FC	pvalue	qvalue	n.control	n.alt	mean_length.control	mean_length.alt
ENST00000174653	-1.04679121971933	0.0222340654301579	0.0237163364588351	14	17	1802.64285714286	1130.47058823529
ENST00000222345	-1.21934507323735	3.14828699778755e-05	0.000755588879469013	39	33	1812.30769230769	1027.93939393939
ENST00000257468	-1.21184838201074	0.0123434414903834	0.0164579219871779	12	14	1301.25	559.142857142857
ENST00000258281	-1.0075796672931	0.0142801318054535	0.0180380612279412	14	15	2556.85714285714	1493.8
ENST00000261833	-1.08548933947004	0.00242677352353006	0.00529477859679287	20	18	2080.95	1003.38888888889
ENST00000271332	-0.978183564657272	0.00116864908205774	0.00375330187765745	35	20	1794.45714285714	1044.55
ENST00000300870	-1.09053038565193	4.40041197869061e-06	0.000211219774977149	34	32	2349.29411764706	1182.625
ENST00000302475	-1.03302027963144	0.0171288324531739	0.019575808517913	14	20	3592.57142857143	1534.9
ENST00000306376	-1.11971347483347	0.00959142959556521	0.0153462873529043	17	11	1942.23529411765	700.090909090909
ENST00000308497	-0.937628018539237	0.010577523627984	0.0158662854419761	28	20	2725.5	1410.65
ENST00000311085	-1.33237577457271	0.00076998156711386	0.00307793251406136	23	19	2135.34782608696	966.789473684211
ENST00000314250	-0.930516520001334	0.0370480121440846	0.0378362677216183	11	19	3521.45454545455	2271.89473684211
ENST00000314328	-1.02620718652977	0.019694790001973	0.0214852254566978	20	22	2494.1	1124.59090909091
ENST00000320985	-0.950643330047929	0.0123228933151891	0.0164579219871779	19	19	1818.31578947368	1148.47368421053
ENST00000338458	-1.334473897635	0.00117290683676795	0.00375330187765745	22	19	2948.36363636364	1424.42105263158
ENST00000338700	-1.55936012441521	0.00140549963325005	0.00396846955270604	15	14	3118.86666666667	1262.57142857143
ENST00000349880	-1.1510472353374	0.00838104425060338	0.013872073242378	14	14	2208.92857142857	908.714285714286
ENST00000360375	-1.11211477096128	0.0193443346367177	0.0214852254566978	15	22	2817.86666666667	1725.86363636364
ENST00000360971	-0.944159966492203	0.00201212853938655	0.00459915094716925	27	26	1955.07407407407	1153.80769230769
ENST00000368990	-0.965977910719243	0.00325239321400158	0.0067876032292207	21	24	2193.52380952381	1237.95833333333
ENST00000370996	-1.17307751307418	0.00571671373571509	0.0105539330505509	13	21	2340.69230769231	1253.95238095238
ENST00000379802	-0.968260361269108	0.000833606722558285	0.00307793251406136	41	27	2295.34146341463	1135.85185185185
ENST00000381538	-1.07065982615125	0.00201168259506088	0.00459915094716925	18	31	2361.88888888889	1419.1935483871
ENST00000392588	-1.0811561527489	7.68309589706418e-05	0.000921971507647702	17	12	1840.94117647059	882.583333333333
ENST00000393389	-1.25571763206009	0.0103879691225603	0.0158662854419761	11	12	2219.09090909091	967.583333333333
ENST00000394970	-1.0433219266869	0.0249250444014105	0.0260087419840806	11	11	1752.36363636364	1131.81818181818
ENST00000395153	-0.950828441703432	0.0414503422868336	0.0414503422868336	12	11	2661.66666666667	1586.81818181818
ENST00000398506	-0.966608111322701	0.000406146484880412	0.00210106662523352	15	18	1227.86666666667	614.722222222222
ENST00000401395	-1.26842200831378	0.000210159685928513	0.0016812774874281	26	14	2146.96153846154	1103.57142857143
ENST00000402965	-0.994021900470298	0.00692632958023054	0.0123134748092987	14	16	1195	608.8125
ENST00000405442	-0.922095424292246	0.0154171561753689	0.0189749614466079	11	26	1356.45454545455	903.269230769231
ENST00000407445	-0.947963205093301	0.000481494434949349	0.00210106662523352	20	36	912.65	483.944444444444
ENST00000413371	-0.938567815659782	0.0165811179558487	0.0194120405336766	15	24	2641.86666666667	1680.45833333333
ENST00000424629	-1.00234182240087	0.000257022074427892	0.00176243708179126	19	27	1786.73684210526	924.222222222222
ENST00000448232	-1.0490951504	0.00506034931109737	0.00971587067730694	24	17	2219.04166666667	1238.82352941176
ENST00000494857	-0.943823313567888	0.0109219831522624	0.0158865209487453	24	14	2095.16666666667	1098.64285714286
ENST00000509018	-0.992610039106709	0.000476078792991633	0.00210106662523352	29	34	2592.06896551724	1543.14705882353
ENST00000521452	-1.38590549144489	0.000206347827691886	0.0016812774874281	14	12	1633.28571428571	776.916666666667
ENST00000537372	-1.27525168481537	0.00166365613816167	0.00429503659074973	13	16	3115.61538461538	1530
ENST00000561157	-1.27168682402711	0.000420436685505623	0.00210106662523352	37	63	1209.67567567568	402.84126984127
ENST00000597937	-0.927731252364503	0.00377496486677158	0.00754992973354315	17	11	2591.52941176471	1495.54545454545
ENST00000600228	-1.00900827264077	0.0159023110947506	0.0190827733137008	12	11	2159	1015.81818181818
ENST00000610347	-1.22439652883536	0.0081990624764673	0.013872073242378	17	20	2321.64705882353	1186.7
ENST00000610980	-1.14525253559022	4.77266179249378e-05	0.000763625886799004	25	23	1922.12	1019.73913043478
ENST00000614357	-0.944503564599048	0.00127681874868199	0.00383045624604596	21	12	1422.47619047619	829.333333333333
ENST00000620854	-1.16877226028211	0.0017001186505051	0.00429503659074973	18	12	1909.83333333333	1007.25
ENST00000621744	-0.941323589559127	0.0121978844459575	0.0164579219871779	32	17	2967	1508.52941176471
ENST00000637886	-1.03752851004217	0.0129209323424576	0.0167622906064314	17	15	2567.41176470588	1430
