name	log2FC	pvalue	qvalue	n.control	n.alt	mean_length.control	mean_length.alt
ENST00000000233	-0.126729757	0.015153725	0.360231076	719	760	992.7621697	934.6828947
ENST00000000412	-0.085880803	0.406196058	0.853417737	370	321	1908.351351	1825.953271
ENST00000000442	-0.20885037	0.318148743	0.816615262	70	89	1918.4	1762.606742
ENST00000001008	-0.050032672	0.843910452	0.968331646	1540	1719	1309.666234	1340.666667
ENST00000002125	0.18243111	0.351936147	0.833410513	41	47	1444.560976	1587.404255
ENST00000002165	-0.099057367	0.395637834	0.850006061	542	590	1450.774908	1349.622034
ENST00000002501	-0.210144115	0.126079733	0.674245021	32	32	1844.3125	1667.84375
ENST00000002829	-0.120616667	0.742785137	0.947606584	178	156	1928.11236	1963.839744
ENST00000003100	-0.199673887	0.089909366	0.62097791	385	402	1634.062338	1419.124378
ENST00000003302	-0.272091656	0.517976847	0.890878254	32	41	1727.8125	1723.219512
ENST00000003912	-0.135848709	0.643580814	0.926782376	53	49	1920.358491	1712.857143
ENST00000005178	-0.270706761	0.140078775	0.690187194	228	245	1861.79386	1583.506122
ENST00000005257	-0.083292638	0.586135623	0.910874941	308	295	1425.61039	1381.616949
ENST00000005259	-0.156789482	0.347244394	0.830867977	63	57	1742.190476	1533.035088
ENST00000005260	-0.331761456	0.069007471	0.577737767	82	103	1761.02439	1417.145631
ENST00000005286	0.008324515	0.975978857	0.994669997	207	260	1364.024155	1415.738462
ENST00000005340	0.006693784	0.968915289	0.993817095	179	181	1408.703911	1523.18232
ENST00000005386	-0.224393177	0.03510054	0.472327655	129	130	1759.015504	1611.792308
ENST00000005995	-0.071090347	0.223906613	0.761035785	609	717	1098.361248	1044.709902
ENST00000006015	-0.485819524	0.000856559	0.11139318	68	84	1706.073529	1241.904762
ENST00000006658	0.016829844	0.959625475	0.992903817	43	57	1770.767442	1942.45614
ENST00000006777	-0.237794272	0.14019689	0.690379904	39	50	1277.051282	1128.62
ENST00000007264	0.00822155	0.954150489	0.992463435	174	192	1565.643678	1587.901042
ENST00000007390	-0.03271665	0.546548722	0.900645502	598	536	1047.411371	1035.285448
ENST00000007414	0.025270945	0.94296647	0.989613938	17	23	1917.529412	1980.869565
ENST00000007516	-0.055630401	0.026866687	0.432940247	880	1061	706.5647727	684.4505184
ENST00000008180	-0.206242016	0.211589487	0.75066411	11	15	769.1818182	687.4
ENST00000008527	-0.16544689	0.394793654	0.849642781	68	50	1716.455882	1535.98
ENST00000009041	-0.085114835	0.277994035	0.79975872	196	192	1284.484694	1227.338542
ENST00000009180	-0.057002376	0.809912529	0.961877898	27	29	855.2592593	793.7241379
ENST00000009589	-0.0400425	0.052982129	0.535209213	1529	2112	568.8907783	555.0440341
ENST00000010132	-0.070343572	0.501505913	0.887732309	28	31	836.1785714	814.8064516
ENST00000010404	-0.253512793	1.58E-05	0.014555042	174	209	801.362069	672.5885167
ENST00000011473	-0.255942764	0.066326741	0.571279904	76	79	1323.789474	1154.518987
ENST00000011619	-0.350706358	0.010456849	0.319221003	139	133	1828.402878	1489.691729
ENST00000011691	-0.135276274	0.007311977	0.277910976	117	121	740.7264957	685.6446281
ENST00000011898	0.192344556	0.615349406	0.919827203	16	11	1382.25	1437.272727
ENST00000012049	-0.010549246	0.959027442	0.992869319	46	54	1147.608696	1150.555556
ENST00000012443	-0.086176445	0.403872973	0.85282319	246	237	1652.243902	1604.383966
ENST00000013070	0.047476625	0.817036295	0.963724431	126	127	1913.230159	2043.543307
ENST00000013125	-0.179993324	0.225094936	0.76211995	118	125	1982.262712	1854.424
ENST00000013807	-0.065251954	0.626059475	0.921929335	80	78	1121.8875	1070.897436
ENST00000014914	-0.187958543	0.17547287	0.721113246	404	336	1679.759901	1579.428571
ENST00000014930	-0.010580922	0.81083385	0.962128858	240	299	1036.75	1037.304348
ENST00000016171	-0.133939342	0.502763733	0.887968856	72	73	1798.694444	1812.315068
ENST00000017003	0.153745449	0.519280088	0.891244261	46	33	917.7391304	1059.212121
ENST00000019019	-0.206197294	0.100230348	0.636277515	146	171	1573.082192	1434.783626
ENST00000019317	0.160662149	0.514555466	0.890350825	84	71	1525.27381	1686.816901
ENST00000020945	0.084913752	0.664837366	0.929623467	63	55	1382.761905	1463.781818
ENST00000022615	-0.063237974	0.244249852	0.77501408	677	726	1226.553914	1182.162534
ENST00000023939	-0.057715178	0.570394515	0.906860553	314	312	1373.726115	1300.455128
ENST00000025008	-0.041284161	0.882581832	0.976852918	65	86	1580.615385	1675.755814
ENST00000025301	-0.338797185	0.155833162	0.704006186	62	51	2203	1757.901961
ENST00000029410	-0.170054169	0.070171176	0.580940267	115	97	1366.478261	1266.525773
ENST00000031146	-0.166573305	0.208050147	0.747514544	97	93	2349.57732	2055.623656
ENST00000033079	-0.197978039	0.307731288	0.81219023	62	68	1890.548387	1831.5
ENST00000035307	0.099105439	0.570913087	0.907133647	130	80	1806.815385	1943.875
ENST00000037243	-0.070432828	0.035960419	0.476010264	427	394	965.442623	929.2969543
ENST00000037869	-0.16416892	0.07361565	0.5872237	282	271	1382.046099	1262.557196
ENST00000038176	-0.304594204	0.059041111	0.552084508	86	85	1822.5	1529.294118
ENST00000039989	-0.248401531	0.196557638	0.737527428	67	67	1990.283582	1818.985075
ENST00000040738	-0.355622274	0.306854101	0.811571891	80	70	1889.1875	1706.642857
ENST00000040877	-0.288732164	0.122300425	0.669727495	77	73	2246.454545	1963.369863
ENST00000042381	-0.195287471	0.687943411	0.936245432	20	17	1669.8	1588.117647
ENST00000043402	0.074950371	0.773319558	0.953717409	34	21	1436.735294	1496.809524
ENST00000044462	-0.058980873	0.058147042	0.551132427	995	1001	1120.273367	1083.198801
ENST00000046640	0.014999455	0.92441063	0.985297969	53	47	1977.09434	2016.361702
ENST00000052569	-0.190144152	0.309746631	0.813038783	87	85	2355.425287	2129.552941
ENST00000053468	-0.2336596	0.000100342	0.039373908	269	287	1323.394052	1145.02439
ENST00000053867	-0.162205933	0.165643648	0.710804368	403	455	1669.372208	1571.103297
ENST00000054650	-0.075386449	0.637590966	0.925506806	48	52	1230.625	1177.25
ENST00000054666	-0.11882916	0.066156093	0.570795566	300	298	1539.143333	1465.959732
ENST00000054950	-0.237874951	0.00131486	0.129883009	764	786	1597.459424	1410.449109
ENST00000055077	-0.086572865	0.232175525	0.766290049	362	389	1440.740331	1380.316195
ENST00000055335	-0.13459363	0.808823446	0.961740105	10	11	1979.1	1960
ENST00000056217	-0.414416591	0.384659944	0.846238291	16	20	2418	1788.05
ENST00000056233	-0.189409839	0.709384898	0.940559457	10	13	1921.3	2172.076923
