sample	transcript	read_length
Control_2_demo	ENST00000338700	4333
Control_2_demo	ENST00000338700	2367
Control_2_demo	ENST00000338700	1895
Control_2_demo	ENST00000338700	1516
Control_2_demo	ENST00000338700	1578
Control_2_demo	ENST00000338700	1173
Control_2_demo	ENST00000521452	2272
Control_2_demo	ENST00000521452	1802
Control_2_demo	ENST00000521452	639
Control_2_demo	ENST00000338458	3990
Control_2_demo	ENST00000338458	3853
Control_2_demo	ENST00000338458	3659
Control_2_demo	ENST00000338458	3549
Control_2_demo	ENST00000338458	3126
Control_2_demo	ENST00000338458	2965
Control_2_demo	ENST00000338458	311
Control_2_demo	ENST00000311085	5922
Control_2_demo	ENST00000311085	1580
Control_2_demo	ENST00000311085	1111
Control_2_demo	ENST00000311085	952
Control_2_demo	ENST00000311085	2217
Control_2_demo	ENST00000311085	1795
Control_2_demo	ENST00000311085	1815
Control_2_demo	ENST00000311085	1049
Control_2_demo	ENST00000311085	1620
Control_2_demo	ENST00000311085	1409
Control_2_demo	ENST00000311085	1153
Control_2_demo	ENST00000311085	986
Control_2_demo	ENST00000311085	558
Control_2_demo	ENST00000311085	2117
Control_2_demo	ENST00000537372	3395
Control_2_demo	ENST00000537372	3373
Control_2_demo	ENST00000537372	670
Control_2_demo	ENST00000561157	1590
Control_2_demo	ENST00000561157	1945
Control_2_demo	ENST00000561157	1096
Control_2_demo	ENST00000561157	513
Control_2_demo	ENST00000561157	507
Control_2_demo	ENST00000561157	495
Control_2_demo	ENST00000561157	597
Control_2_demo	ENST00000561157	632
Control_2_demo	ENST00000561157	566
Control_2_demo	ENST00000561157	2747
Control_2_demo	ENST00000561157	985
Control_2_demo	ENST00000561157	479
Control_2_demo	ENST00000561157	202
Control_2_demo	ENST00000401395	3052
Control_2_demo	ENST00000401395	2771
Control_2_demo	ENST00000401395	2755
Control_2_demo	ENST00000401395	2474
Control_2_demo	ENST00000401395	2491
Control_2_demo	ENST00000401395	2322
Control_2_demo	ENST00000401395	2292
Control_2_demo	ENST00000401395	1898
Control_2_demo	ENST00000401395	1793
Control_2_demo	ENST00000401395	1298
Control_2_demo	ENST00000401395	883
Control_2_demo	ENST00000393389	3790
Control_2_demo	ENST00000393389	1545
Control_2_demo	ENST00000610347	2990
Control_2_demo	ENST00000610347	2934
Control_2_demo	ENST00000610347	2259
Control_2_demo	ENST00000610347	2123
Control_2_demo	ENST00000610347	2084
Control_2_demo	ENST00000610347	2175
Control_2_demo	ENST00000610347	886
Control_2_demo	ENST00000610347	732
Control_2_demo	ENST00000222345	1933
Control_2_demo	ENST00000222345	3910
Control_2_demo	ENST00000222345	3442
Control_2_demo	ENST00000222345	3386
Control_2_demo	ENST00000222345	2674
Control_2_demo	ENST00000222345	2318
Control_2_demo	ENST00000222345	2285
Control_2_demo	ENST00000222345	2050
Control_2_demo	ENST00000222345	1872
Control_2_demo	ENST00000222345	1845
Control_2_demo	ENST00000222345	1666
Control_2_demo	ENST00000222345	1513
Control_2_demo	ENST00000222345	1447
Control_2_demo	ENST00000222345	1506
Control_2_demo	ENST00000222345	1367
Control_2_demo	ENST00000222345	936
Control_2_demo	ENST00000222345	901
Control_2_demo	ENST00000222345	910
Control_2_demo	ENST00000222345	764
Control_2_demo	ENST00000257468	1885
Control_2_demo	ENST00000257468	167
Control_2_demo	ENST00000257468	921
Control_2_demo	ENST00000257468	890
Control_2_demo	ENST00000370996	3411
Control_2_demo	ENST00000370996	3405
Control_2_demo	ENST00000370996	4148
Control_2_demo	ENST00000370996	3401
Control_2_demo	ENST00000370996	1138
Control_2_demo	ENST00000370996	1094
Control_2_demo	ENST00000370996	955
Control_2_demo	ENST00000370996	655
Control_2_demo	ENST00000349880	785
Control_2_demo	ENST00000349880	4371
Control_2_demo	ENST00000349880	902
Control_2_demo	ENST00000349880	3082
Control_2_demo	ENST00000349880	2531
Control_2_demo	ENST00000349880	1885
Control_2_demo	ENST00000349880	1653
Control_2_demo	ENST00000349880	1422
Control_2_demo	ENST00000610980	3232
Control_2_demo	ENST00000610980	3010
Control_2_demo	ENST00000610980	2791
Control_2_demo	ENST00000610980	1496
Control_2_demo	ENST00000610980	2203
Control_2_demo	ENST00000610980	2125
Control_2_demo	ENST00000610980	1836
Control_2_demo	ENST00000610980	1710
Control_2_demo	ENST00000610980	1081
Control_2_demo	ENST00000610980	762
Control_2_demo	ENST00000610980	517
Control_2_demo	ENST00000360375	3059
Control_2_demo	ENST00000360375	1438
Control_2_demo	ENST00000360375	3071
Control_2_demo	ENST00000360375	2816
Control_2_demo	ENST00000360375	2414
Control_2_demo	ENST00000360375	2290
Control_2_demo	ENST00000360375	1684
Control_2_demo	ENST00000300870	3194
Control_2_demo	ENST00000300870	3262
Control_2_demo	ENST00000300870	3227
Control_2_demo	ENST00000300870	1796
Control_2_demo	ENST00000300870	1317
Control_2_demo	ENST00000300870	604
Control_2_demo	ENST00000261833	3787
Control_2_demo	ENST00000261833	2964
Control_2_demo	ENST00000261833	3144
Control_2_demo	ENST00000261833	2110
Control_2_demo	ENST00000261833	1042
Control_2_demo	ENST00000261833	720
Control_2_demo	ENST00000261833	688
Control_2_demo	ENST00000261833	413
Control_2_demo	ENST00000392588	2710
Control_2_demo	ENST00000392588	2666
Control_2_demo	ENST00000392588	2542
Control_2_demo	ENST00000392588	1513
Control_2_demo	ENST00000392588	1297
Control_2_demo	ENST00000392588	1070
Control_2_demo	ENST00000381538	2356
Control_2_demo	ENST00000448232	4882
Control_2_demo	ENST00000448232	4238
Control_2_demo	ENST00000448232	2914
Control_2_demo	ENST00000448232	2932
Control_2_demo	ENST00000448232	1376
Control_2_demo	ENST00000448232	2579
Control_2_demo	ENST00000448232	2446
Control_2_demo	ENST00000448232	1310
Control_2_demo	ENST00000448232	1111
Control_2_demo	ENST00000448232	858
Control_2_demo	ENST00000448232	798
Control_2_demo	ENST00000448232	450
Control_2_demo	ENST00000174653	3475
Control_2_demo	ENST00000174653	868
Control_2_demo	ENST00000174653	1390
Control_2_demo	ENST00000174653	1085
Control_2_demo	ENST00000174653	1046
Control_2_demo	ENST00000174653	901
Control_2_demo	ENST00000394970	1739
Control_2_demo	ENST00000394970	1282
Control_2_demo	ENST00000394970	1317
Control_2_demo	ENST00000394970	1330
Control_2_demo	ENST00000637886	4440
Control_2_demo	ENST00000637886	4712
Control_2_demo	ENST00000637886	1453
Control_2_demo	ENST00000637886	1375
Control_2_demo	ENST00000637886	740
Control_2_demo	ENST00000302475	5243
Control_2_demo	ENST00000302475	3885
Control_2_demo	ENST00000302475	5894
Control_2_demo	ENST00000302475	2001
Control_2_demo	ENST00000302475	4895
Control_2_demo	ENST00000302475	1218
Control_2_demo	ENST00000302475	569
Control_2_demo	ENST00000302475	448
Control_2_demo	ENST00000314328	6127
Control_2_demo	ENST00000314328	700
Control_2_demo	ENST00000314328	3739
Control_2_demo	ENST00000314328	1654
Control_2_demo	ENST00000314328	1060
Control_2_demo	ENST00000314328	540
Control_2_demo	ENST00000314328	223
Control_2_demo	ENST00000600228	3491
Control_2_demo	ENST00000600228	786
Control_2_demo	ENST00000600228	2174
Control_2_demo	ENST00000258281	3161
Control_2_demo	ENST00000258281	3184
Control_2_demo	ENST00000258281	3109
Control_2_demo	ENST00000258281	634
Control_2_demo	ENST00000424629	2670
Control_2_demo	ENST00000424629	3820
Control_2_demo	ENST00000424629	3596
Control_2_demo	ENST00000424629	2151
Control_2_demo	ENST00000424629	1833
Control_2_demo	ENST00000424629	1389
Control_2_demo	ENST00000424629	1183
Control_2_demo	ENST00000424629	1224
Control_2_demo	ENST00000424629	857
Control_2_demo	ENST00000424629	459
Control_2_demo	ENST00000402965	1220
Control_2_demo	ENST00000402965	1017
Control_2_demo	ENST00000509018	8197
Control_2_demo	ENST00000509018	4928
Control_2_demo	ENST00000509018	4022
Control_2_demo	ENST00000509018	3720
Control_2_demo	ENST00000509018	3118
Control_2_demo	ENST00000509018	2744
Control_2_demo	ENST00000509018	2164
Control_2_demo	ENST00000509018	2078
Control_2_demo	ENST00000509018	1743
Control_2_demo	ENST00000509018	1644
Control_2_demo	ENST00000509018	1282
Control_2_demo	ENST00000509018	1294
Control_2_demo	ENST00000509018	919
Control_2_demo	ENST00000271332	5010
Control_2_demo	ENST00000271332	3642
Control_2_demo	ENST00000271332	4113
Control_2_demo	ENST00000271332	2349
Control_2_demo	ENST00000271332	2289
Control_2_demo	ENST00000271332	2102
Control_2_demo	ENST00000271332	1823
Control_2_demo	ENST00000271332	1542
Control_2_demo	ENST00000271332	1063
Control_2_demo	ENST00000271332	1031
Control_2_demo	ENST00000271332	713
Control_2_demo	ENST00000271332	549
Control_2_demo	ENST00000379802	4660
Control_2_demo	ENST00000379802	4563
Control_2_demo	ENST00000379802	4072
Control_2_demo	ENST00000379802	4206
Control_2_demo	ENST00000379802	3901
Control_2_demo	ENST00000379802	3096
Control_2_demo	ENST00000379802	2334
Control_2_demo	ENST00000379802	1594
Control_2_demo	ENST00000379802	1394
Control_2_demo	ENST00000379802	987
Control_2_demo	ENST00000379802	1022
Control_2_demo	ENST00000379802	862
Control_2_demo	ENST00000379802	782
Control_2_demo	ENST00000379802	652
Control_2_demo	ENST00000379802	526
Control_2_demo	ENST00000379802	480
Control_2_demo	ENST00000398506	2180
Control_2_demo	ENST00000398506	1091
Control_2_demo	ENST00000398506	669
Control_2_demo	ENST00000398506	1202
Control_2_demo	ENST00000398506	975
Control_2_demo	ENST00000398506	458
Control_2_demo	ENST00000368990	3841
Control_2_demo	ENST00000368990	1411
Control_2_demo	ENST00000368990	3033
Control_2_demo	ENST00000395153	3792
Control_2_demo	ENST00000395153	3738
Control_2_demo	ENST00000395153	3216
Control_2_demo	ENST00000395153	3330
Control_2_demo	ENST00000395153	1530
Control_2_demo	ENST00000395153	514
Control_2_demo	ENST00000320985	2235
Control_2_demo	ENST00000320985	2156
Control_2_demo	ENST00000320985	1964
Control_2_demo	ENST00000320985	1913
Control_2_demo	ENST00000320985	1699
Control_2_demo	ENST00000320985	1592
Control_2_demo	ENST00000320985	1243
Control_2_demo	ENST00000320985	857
Control_2_demo	ENST00000320985	828
Control_2_demo	ENST00000407445	542
