sample	transcript	read_length
Control_1_demo	ENST00000338700	5489
Control_1_demo	ENST00000338700	4786
Control_1_demo	ENST00000338700	1991
Control_1_demo	ENST00000338700	2628
Control_1_demo	ENST00000338700	2107
Control_1_demo	ENST00000338700	1919
Control_1_demo	ENST00000521452	1975
Control_1_demo	ENST00000521452	1937
Control_1_demo	ENST00000521452	1737
Control_1_demo	ENST00000521452	1726
Control_1_demo	ENST00000521452	1663
Control_1_demo	ENST00000521452	1391
Control_1_demo	ENST00000521452	1324
Control_1_demo	ENST00000521452	1260
Control_1_demo	ENST00000521452	1111
Control_1_demo	ENST00000338458	3534
Control_1_demo	ENST00000338458	3627
Control_1_demo	ENST00000338458	3581
Control_1_demo	ENST00000338458	3542
Control_1_demo	ENST00000338458	3805
Control_1_demo	ENST00000338458	3476
Control_1_demo	ENST00000338458	2889
Control_1_demo	ENST00000338458	2089
Control_1_demo	ENST00000338458	2013
Control_1_demo	ENST00000338458	1821
Control_1_demo	ENST00000338458	887
Control_1_demo	ENST00000338458	785
Control_1_demo	ENST00000311085	2598
Control_1_demo	ENST00000311085	2408
Control_1_demo	ENST00000311085	3576
Control_1_demo	ENST00000311085	1658
Control_1_demo	ENST00000311085	4714
Control_1_demo	ENST00000311085	2046
Control_1_demo	ENST00000537372	3419
Control_1_demo	ENST00000537372	3309
Control_1_demo	ENST00000537372	3393
Control_1_demo	ENST00000537372	3403
Control_1_demo	ENST00000537372	3369
Control_1_demo	ENST00000537372	3170
Control_1_demo	ENST00000537372	2311
Control_1_demo	ENST00000537372	6072
Control_1_demo	ENST00000537372	1458
Control_1_demo	ENST00000561157	221
Control_1_demo	ENST00000561157	1990
Control_1_demo	ENST00000561157	1994
Control_1_demo	ENST00000561157	1912
Control_1_demo	ENST00000561157	254
Control_1_demo	ENST00000561157	1943
Control_1_demo	ENST00000561157	2210
Control_1_demo	ENST00000561157	2709
Control_1_demo	ENST00000561157	239
Control_1_demo	ENST00000561157	2919
Control_1_demo	ENST00000561157	1786
Control_1_demo	ENST00000561157	1349
Control_1_demo	ENST00000561157	497
Control_1_demo	ENST00000561157	1731
Control_1_demo	ENST00000561157	1556
Control_1_demo	ENST00000561157	1251
Control_1_demo	ENST00000561157	1241
Control_1_demo	ENST00000401395	4554
Control_1_demo	ENST00000401395	2986
Control_1_demo	ENST00000401395	2913
Control_1_demo	ENST00000401395	2725
Control_1_demo	ENST00000401395	2508
Control_1_demo	ENST00000401395	2078
Control_1_demo	ENST00000401395	1240
Control_1_demo	ENST00000401395	1017
Control_1_demo	ENST00000401395	1042
Control_1_demo	ENST00000401395	905
Control_1_demo	ENST00000401395	419
Control_1_demo	ENST00000393389	1566
Control_1_demo	ENST00000393389	2225
Control_1_demo	ENST00000393389	2647
Control_1_demo	ENST00000393389	2827
Control_1_demo	ENST00000393389	2903
Control_1_demo	ENST00000393389	2204
Control_1_demo	ENST00000393389	504
Control_1_demo	ENST00000393389	450
Control_1_demo	ENST00000610347	3455
Control_1_demo	ENST00000610347	3426
Control_1_demo	ENST00000610347	3313
Control_1_demo	ENST00000610347	1872
Control_1_demo	ENST00000610347	1096
Control_1_demo	ENST00000610347	621
Control_1_demo	ENST00000222345	1050
Control_1_demo	ENST00000222345	1920
Control_1_demo	ENST00000222345	1657
Control_1_demo	ENST00000222345	1651
Control_1_demo	ENST00000222345	1658
Control_1_demo	ENST00000222345	1500
Control_1_demo	ENST00000222345	1121
Control_1_demo	ENST00000222345	827
Control_1_demo	ENST00000222345	400
Control_1_demo	ENST00000222345	327
Control_1_demo	ENST00000257468	640
Control_1_demo	ENST00000257468	2119
Control_1_demo	ENST00000257468	1933
Control_1_demo	ENST00000257468	1702
Control_1_demo	ENST00000257468	1282
Control_1_demo	ENST00000257468	851
Control_1_demo	ENST00000370996	3388
Control_1_demo	ENST00000370996	3037
Control_1_demo	ENST00000370996	1982
Control_1_demo	ENST00000370996	1436
Control_1_demo	ENST00000620854	2251
Control_1_demo	ENST00000620854	2288
Control_1_demo	ENST00000620854	2014
Control_1_demo	ENST00000620854	3292
Control_1_demo	ENST00000620854	1539
Control_1_demo	ENST00000620854	1365
Control_1_demo	ENST00000620854	2625
Control_1_demo	ENST00000620854	2825
Control_1_demo	ENST00000620854	2265
Control_1_demo	ENST00000620854	2309
Control_1_demo	ENST00000620854	2193
Control_1_demo	ENST00000620854	589
Control_1_demo	ENST00000620854	1032
Control_1_demo	ENST00000620854	766
Control_1_demo	ENST00000620854	689
Control_1_demo	ENST00000349880	1333
Control_1_demo	ENST00000349880	1049
Control_1_demo	ENST00000349880	379
Control_1_demo	ENST00000610980	1059
Control_1_demo	ENST00000610980	2688
Control_1_demo	ENST00000610980	2477
Control_1_demo	ENST00000610980	2471
Control_1_demo	ENST00000610980	3019
Control_1_demo	ENST00000610980	2347
Control_1_demo	ENST00000610980	2325
Control_1_demo	ENST00000610980	1809
Control_1_demo	ENST00000610980	2032
Control_1_demo	ENST00000610980	1847
Control_1_demo	ENST00000610980	1548
Control_1_demo	ENST00000610980	1419
Control_1_demo	ENST00000610980	1305
Control_1_demo	ENST00000610980	944
Control_1_demo	ENST00000306376	703
Control_1_demo	ENST00000306376	4051
Control_1_demo	ENST00000306376	541
Control_1_demo	ENST00000306376	659
Control_1_demo	ENST00000306376	619
Control_1_demo	ENST00000306376	3519
Control_1_demo	ENST00000306376	2047
